Row ID,Establishment ID,Inspection ID,Company/Franchise,Name,Type,Address,Lat,Long,Status,Minimum inspections per year,Infraction details,Inspection date,Severity,Action,Court outcome,Amount fined
115,9000253,104233008,AL-BARAK VARIETY STORE,AL-BARAK VARIETY STORE,Food Store (Convenience / Variety),1880 WESTON RD,43.69975737,-79.51578362,Conditional Pass,2,Operator fail to properly maintain rooms,2018-06-01,M - Minor,Notice to Comply,,
118,9000261,104034619,ABACUS DAY CARE CENTRE,ABACUS DAY CARE CENTRE,Child Care - Food Preparation,20 CHICHESTER PL,43.77732093,-79.32177017,Pass,3,,2017-08-22,,,,
126,9000263,104040729,ABBIRAMI CATERING & TAKE-OUT,ABBIRAMI CATERING & TAKE-OUT,Food Take Out,2619 EGLINTON AVE E,43.73528554,-79.25231205,Pass,3,Operator fail to properly wash surfaces in rooms,2017-08-09,M - Minor,Notice to Comply,,
139,9000266,104003853,ABC DAY NURSERY,ABC DAY NURSERY,Child Care - Food Preparation,145 MARLEE AVE,43.70326335,-79.44103039,Pass,3,,2017-07-04,,,,
144,9000280,104063383,ACADEMY PLACE TUCK SHOP,ACADEMY PLACE TUCK SHOP,Food Store (Convenience / Variety),2101 ISLINGTON AVE,43.70368803,-79.54888753,Pass,1,Operator fail to properly wash surfaces in rooms,2017-09-27,M - Minor,Notice to Comply,,
145,9000287,103874369,ACE BAKERY,ACE BAKERY,Bakery,1 HAFIS RD,43.70590295,-79.46997506,Conditional Pass,1,Operator fail to provide adequate pest control,2017-05-26,S - Significant,Notice to Comply,,
147,9000306,103980219,ACROSS BOUNDARIES,ACROSS BOUNDARIES,Serving Kitchen,51 CLARKSON AVE,43.69704478,-79.46287305,Pass,2,,2017-06-01,,,,
149,9000316,104091006,ADATH ISRAEL CONGREGATION,ADATH ISRAEL CONGREGATION,Serving Kitchen,37 SOUTHBOURNE AVE,43.73855386,-79.43122536,Pass,2,Fail to Ensure the Presence of the Holder of a Valid Food Handler's Certificate. Muncipal Code Chapter 545-157(17)(a),2017-11-13,NA - Not Applicable,Notice to Comply,,
160,9000320,103977837,ADEGA RESTAURANT,ADEGA RESTAURANT,Restaurant,33 ELM ST,43.65733261,-79.38327119,Pass,3,FAIL TO STORE FOOD ON RACKS OR SHELVES O. REG  562/90 SEC. 23,2017-05-29,S - Significant,Corrected During Inspection,,
174,9000325,104026249,RADISSON ADMIRAL HOTEL - MAIN KITCHEN,RADISSON ADMIRAL HOTEL - MAIN KITCHEN,Banquet Facility,249 QUEENS QUAY  W,43.63882,-79.385605,Pass,3,,2017-08-04,,,,
181,9000350,103989431,AGINCOURT MONTESSORI SCHOOL,AGINCOURT MONTESSORI SCHOOL,Child Care - Catered,2575 MIDLAND AVE,43.78645188,-79.27870739,Pass,2,,2017-06-13,,,,
184,9000353,104016087,AGINCOURT TEMPLE CHILD CARE,AGINCOURT TEMPLE CHILD CARE,Child Care - Food Preparation,3080 BIRCHMOUNT RD,43.80344988,-79.30939038,Pass,3,,2017-07-21,,,,
193,9000359,103952271,AHMAD GROCERY,AHMAD GROCERY,Butcher Shop,1616 GERRARD ST E,43.67304181,-79.31980843,Pass,2,,2017-04-20,,,,
199,9000361,103980974,AHMUTHA SURABI,AHMUTHA SURABI,Food Take Out,2847 LAWRENCE AVE E,43.75347184,-79.25440157,Pass,3,Operator fail to properly wash equipment,2017-06-01,M - Minor,Notice to Comply,,
210,9000372,103946172,PINNACLE CATERERS NORTH,PINNACLE CATERERS NORTH,Commissary,40 BAY ST,43.64407,-79.37843,Pass,2,,2017-04-07,,,,
215,9000373,103945986,ST PATTIES - STAND #7,ST PATTIES - STAND #7,Food Take Out,40 BAY ST,43.64407,-79.37843,Pass,2,,2017-04-07,,,,
220,9000375,103946190,Pizza Pizza,SCOTIABANK ARENA   STAND #4 - PIZZA PIZZA,Food Take Out,40 BAY ST,43.64407,-79.37843,Pass,2,,2017-04-07,,,,
225,9000377,103946192,SCOTIABANK ARENA  FOOD JUNCTION - #5,SCOTIABANK ARENA  FOOD JUNCTION - #5,Food Take Out,40 BAY ST,43.64407,-79.37843,Pass,2,Operator fail to properly wash surfaces in rooms,2017-04-07,M - Minor,Notice to Comply,,
230,9000378,103945922,Tim Hortons,SCOTIABANK ARENA   STAND # 2 - TIM HORTONS,Food Take Out,40 BAY ST,43.64407,-79.37843,Pass,2,,2017-04-07,,,,
234,9000379,103945925,PINNACLE CATERS SOUTH,PINNACLE CATERS SOUTH,Restaurant,40 BAY ST,43.64407,-79.37843,Pass,2,,2017-04-07,,,,
239,9000381,104110974,AIR-O-DOWN CHILD CARE CENTRE,AIR-O-DOWN CHILD CARE CENTRE,Child Care - Catered,7 HAWKSDALE RD,43.73040434,-79.47966088,Pass,2,Operator fail to properly wash equipment,2017-12-14,M - Minor,Notice to Comply,,
242,9000385,104021834,AJI SAI RESTAURANT,AJI SAI RESTAURANT,Restaurant,783 DANFORTH AVE,43.67935196,-79.34165913,Pass,2,,2017-07-28,,,,
248,9000418,103973036,ALBANY CLUB OF TORONTO,ALBANY CLUB OF TORONTO,Private Club,91 KING ST E,43.64967352,-79.374923,Pass,2,OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II),2017-05-24,S - Significant,Corrected During Inspection,,
253,9000420,103970469,ALBATROS PUB,ALBATROS PUB,Restaurant,3057 LAKE SHORE BLVD W,43.59950865,-79.50998891,Pass,2,,2017-05-16,,,,
257,9000424,104048248,ALBERTO'S SPORTS BAR & GRILL,ALBERTO'S SPORTS BAR & GRILL,Restaurant,2560 FINCH AVE W,43.74894187,-79.56096692,Pass,2,,2017-09-07,,,,
262,9000429,104093967,ALBION BAKERY SUPPLIES,ALBION BAKERY SUPPLIES,Food Depot,25 CONNELL CRT,43.61361203,-79.51903308,Pass,1,,2017-11-16,,,,
263,9000431,104076949,ALBION CHILD CARE CENTRE,ALBION CHILD CARE CENTRE,Child Care - Food Preparation,1545 ALBION RD,43.74025409,-79.58642918,Pass,2,,2017-10-20,,,,
266,9000444,104128870,ALDERBUDS CHILD CARE CENTRE,ALDERBUDS CHILD CARE CENTRE,Child Care - Catered,399 THE WEST MALL,43.6435,-79.56609,Pass,2,,2018-01-16,,,,
269,9000446,104089002,ALDERWOOD ACTION CHILD CARE,ALDERWOOD ACTION CHILD CARE,Child Care - Catered,544 HORNER AVE,43.60161044,-79.54816511,Pass,2,,2017-11-08,,,,
271,9000458,103967050,ALEX REI DOS LEITOES,ALEX REI DOS LEITOES,Food Take Out,219 OSSINGTON AVE,43.648884,-79.42048,Pass,3,,2017-05-11,,,,
277,9000461,103900227,ALEXANDRA PARK DAY CARE CENTRE,ALEXANDRA PARK DAY CARE CENTRE,Child Care - Food Preparation,75 AUGUSTA SQ,43.65012601,-79.39999653,Pass,2,,2017-05-02,,,,
280,9000469,104096824,ALEX FARM PRODUCTS,ALEX FARM PRODUCTS,Food Store (Convenience / Variety),93 FRONT ST E,43.64905,-79.37177,Pass,3,,2017-12-28,,,,
284,9000485,103960866,ALI'S WEST INDIAN ROTI SHOP,ALI'S WEST INDIAN ROTI SHOP,Restaurant,1446 QUEEN ST W,43.64073,-79.43591,Pass,3,Operator fail to properly wash surfaces in rooms,2017-05-03,M - Minor,Notice to Comply,,
292,9000487,104002563,AL KARAM SWEETS,AL KARAM SWEETS,Food Processing Plant,3001 MARKHAM RD,43.82859643,-79.24913198,Pass,2,,2017-06-30,,,,
296,9000504,104081081,CHURCH OF THE INCARNATION,CHURCH OF THE INCARNATION,Banquet Facility,15 CLAIRTRELL RD,43.7674918,-79.39008542,Pass,1,,2018-06-01,,,,
297,9000515,104123073,ALLEN'S SCOTTISH BUTCHER,ALLEN'S SCOTTISH BUTCHER,Butcher Shop,2151 WESTON RD,43.7029639,-79.52460362,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E),2018-11-09,M - Minor,Notice to Comply,,
299,9000516,104054919,ALLENBY DAY CARE,ALLENBY DAY CARE,Child Care - Catered,391 ST CLEMENTS AVE,43.70944423,-79.41279098,Pass,2,,2017-09-18,,,,
303,9000539,104253788,ALPHA VARIETY,ALPHA VARIETY,Food Store (Convenience / Variety),603 LOGAN AVE,43.67039884,-79.34631931,Pass,1,Operator fail to properly maintain rooms,2018-06-29,M - Minor,Notice to Comply,,
304,9000583,103791255,AMBER EUROPEAN RESTAURANT,AMBER EUROPEAN RESTAURANT,Restaurant,2372 BLOOR ST W,43.65008792,-79.4820664,Pass,2,,2017-06-20,,,,
307,9000596,104063097,AMAZING DONUTS,AMAZING DONUTS,Bakery,3772 BATHURST ST,43.73792029,-79.43461876,Pass,2,Operator fail to properly maintain rooms,2018-01-31,M - Minor,Notice to Comply,,
313,9000599,103718770,ARMOUR HEIGHTS CHILDCARE PROGRAM,ARMOUR HEIGHTS CHILDCARE PROGRAM,Child Care - Catered,148 WILSON AVE,43.74091864,-79.41952554,Pass,1,,2017-04-20,,,,
315,9000604,104159548,AMTU DISCOUNT & CONVENIENCE,AMTU DISCOUNT & CONVENIENCE,Food Store (Convenience / Variety),988 KINGSTON RD,43.6808656,-79.28637448,Pass,1,,2018-02-27,,,,
316,9000607,104226015,THE GRANGE LOTTERY,THE GRANGE LOTTERY,Food Store (Convenience / Variety),109 MC CAUL ST,43.65413,-79.3911,Pass,1,,2018-05-24,,,,
317,9000614,104021667,ANATOLIA TURKISH CUISINE,ANATOLIA TURKISH CUISINE,Restaurant,5112 DUNDAS ST W,43.64470821,-79.53298335,Pass,2,,2017-07-28,,,,
321,9000615,103975397,ANCASTER CHILD CARE CENTRE,ANCASTER CHILD CARE CENTRE,Child Care - Catered,45 ANCASTER RD,43.73303442,-79.46601442,Pass,3,Operator fail to properly wash surfaces in rooms,2017-05-25,M - Minor,Notice to Comply,,
328,9000643,103973821,ANH DAO RESTAURANT,ANH DAO RESTAURANT,Restaurant,383 SPADINA AVE,43.65634,-79.39914,Pass,3,,2017-05-23,,,,
336,9000646,104002436,MCLOUGHLIN SCHOOLS,MCLOUGHLIN SCHOOLS,Child Care - Catered,80 ROXBOROUGH ST W,43.67910841,-79.38522853,Pass,2,,2017-09-20,,,,
339,9000650,103989792,ANNA PURNA VEGETARIAN RESTAURANT,ANNA PURNA VEGETARIAN RESTAURANT,Restaurant,1085 BATHURST ST,43.67275,-79.41409,Pass,3,Operator fail to properly maintain rooms,2017-06-13,M - Minor,Notice to Comply,,
349,9000651,104042111,ANNAPURNA'S MITHAI SHOPPE,ANNAPURNA'S MITHAI SHOPPE,Bakery,1544 WARDEN AVE,43.76318728,-79.30150915,Pass,2,FAIL TO HAVE TEST REAGENT AVAILABLE AT  PLACE OF SANITIZATION O. REG  562/90 SEC. 75(2),2017-08-29,S - Significant,Corrected During Inspection,,
360,9000671,103826671,ANNEX MART,ANNEX MART,Food Store (Convenience / Variety),535 BLOOR ST W,43.66531,-79.40973,Pass,1,Operator fail to properly wash surfaces in rooms,2017-12-27,M - Minor,Notice to Comply,,
363,9000684,104014544,ANTICA VILLAGE DAY CARE,ANTICA VILLAGE DAY CARE,Child Care - Food Preparation,360 HULLMAR DR,43.77356355,-79.52332414,Pass,2,,2017-07-19,,,,
364,9000698,103950745,APACHE BURGER,APACHE BURGER,Restaurant,5236 DUNDAS ST W,43.63932024,-79.53784146,Pass,2,,2017-04-18,,,,
366,9000706,103989681,APOLLO ELEVEN RESTAURANT,APOLLO ELEVEN RESTAURANT,Restaurant,1093 BATHURST ST,43.672977,-79.414185,Pass,2,Operator fail to properly maintain rooms,2017-06-13,M - Minor,Notice to Comply,,
374,9000720,104141057,APPLEWOOD HOMESTEAD,APPLEWOOD HOMESTEAD,Banquet Facility,450 THE WEST MALL,43.647984,-79.56818,Pass,1,,2018-01-30,,,,
375,9000728,104051884,ARAMARK CANADA LTD.,ARAMARK CANADA LTD.,Food Depot,105 THE EAST MALL,43.621582,-79.54984,Pass,1,,2017-09-13,,,,
376,9000735,103963499,ARBOR GLEN COMMUNITY CHILDCARE,ARBOR GLEN COMMUNITY CHILDCARE,Child Care - Catered,55 FRESHMEADOW DR,43.809495,-79.35571268,Pass,3,,2017-05-08,,,,
381,9000747,103991445,ARCHBISHOP ROMERO SCHOOL,ARCHBISHOP ROMERO SCHOOL,Secondary School Food Services,99 HUMBER BLVD,43.68034146,-79.48080008,Pass,1,,2017-06-19,,,,
382,9000752,103988872,ARGONAUT ROWING CLUB IN TRUST,ARGONAUT ROWING CLUB IN TRUST,Private Club,1225 LAKE SHORE BLVD W,43.63241654,-79.43598184,Pass,1,,2017-06-22,,,,
383,9000761,104025606,ARIZONA B-BAR & GRILL,ARIZONA B-BAR & GRILL,Restaurant,215 CARLINGVIEW DR,43.6834672,-79.59245663,Pass,3,,2017-08-03,,,,
396,9000771,104082744,ARMENIAN KITCHEN,ARMENIAN KITCHEN,Restaurant,1646 VICTORIA PARK AVE,43.73093111,-79.30584849,Pass,3,,2017-10-31,,,,
400,9000772,104082745,ARMENIAN VILLAGE BAKERY,ARMENIAN VILLAGE BAKERY,Bakery,1646 VICTORIA PARK AVE,43.73093111,-79.30584849,Pass,2,,2017-10-31,,,,
404,9000805,104011773,ASIA GARDEN RESTAURANT,ASIA GARDEN RESTAURANT,Restaurant,2648 ISLINGTON AVE,43.73815545,-79.5663444,Pass,2,FAIL TO CLEAN WASHBASINS AS OFTEN AS NECESSARY O. REG  562/90 SEC. 68(4),2017-07-14,S - Significant,Corrected During Inspection,,
412,9000810,103954428,ASIAN FOOD CENTRE,ASIAN FOOD CENTRE,Supermarket,10 WESTMORE DR,43.74226529,-79.60456566,Pass,2,,2017-04-24,,,,
427,9000813,104077128,ASIAN GOURMET,ASIAN GOURMET,Food Court Vendor,1530 ALBION RD,43.74177113,-79.58460544,Pass,2,,2017-10-20,,,,
430,9000836,104043801,ASTORIA,ASTORIA,Restaurant,390 DANFORTH AVE,43.67783846,-79.35182815,Pass,3,,2017-08-30,,,,
435,9000848,104038627,ATHENS PASTRIES,ATHENS PASTRIES,Restaurant,509 DANFORTH AVE,43.67795448,-79.34882801,Pass,2,,2017-08-23,,,,
438,9000851,104014474,ATHENS RESTAURANT & TAVERN,ATHENS RESTAURANT & TAVERN,Restaurant,707 DANFORTH AVE,43.67897213,-79.34345273,Pass,3,Operator fail to properly maintain rooms,2017-07-19,M - Minor,Notice to Comply,,
445,9000853,103950438,ATIN ITO COMPANY,ATIN ITO COMPANY,Food Take Out,182 CARLTON ST,43.663456,-79.37241,Pass,1,Operator fail to properly maintain rooms,2017-04-18,M - Minor,Notice to Comply,,
448,9000881,104014380,AUNTIES & UNCLES,AUNTIES & UNCLES,Restaurant,74 LIPPINCOTT ST,43.65686,-79.40654,Pass,3,,2017-07-19,,,,
454,9000888,103926818,AVALON CHILDREN'S MONTESS,AVALON CHILDREN'S MONTESS,Child Care - Catered,31 WOOD GLEN RD,43.68405078,-79.27550398,Pass,2,,2017-04-26,,,,
458,9000891,104000893,THE AVENUE DINER,THE AVENUE DINER,Restaurant,222 DAVENPORT RD,43.67503,-79.39689,Pass,2,,2017-06-28,,,,
469,9000897,103956073,AVENUE ROAD CHILDCARE CENTRE,AVENUE ROAD CHILDCARE CENTRE,Child Care - Food Preparation,1498 AVENUE RD,43.72205828,-79.41583347,Pass,3,,2017-04-27,,,,
475,9000917,104044642,B & B FISH & CHIPS,B & B FISH & CHIPS,Food Take Out,1116 QUEEN ST E,43.66229357,-79.33542,Pass,2,,2017-08-31,,,,
479,9000935,104353537,B.A. GROCERY,B.A. GROCERY,Food Store (Convenience / Variety),140 SACKVILLE ST,43.657574,-79.36198,Pass,1,,2018-11-27,,,,
480,9000939,104044146,BROOKFIELD MOTHERCRAFT PLACE,BROOKFIELD MOTHERCRAFT PLACE,Child Care - Food Preparation,10 FRONT ST W,43.64694339,-79.37725749,Pass,3,,2017-08-31,,,,
486,9000962,104067398,BACCHUS ROTI SHOP,BACCHUS ROTI SHOP,Restaurant,1376 QUEEN ST W,43.641293,-79.433235,Pass,2,Food handler fail to wear headgear,2017-10-04,M - Minor,Notice to Comply,,
489,9000963,103965104,BACK ALLEY BAR & GRILL,BACK ALLEY BAR & GRILL,Restaurant,33 SAMOR RD,43.71735884,-79.45824723,Pass,2,FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C),2017-05-16,S - Significant,Corrected During Inspection,,
517,9000980,104148316,BAGEL PLUS,BAGEL PLUS,Restaurant,634 SHEPPARD AVE W,43.75533554,-79.44086296,Pass,2,FAIL TO STORE FOOD ON PALLETS O. REG  562/90 SEC. 23,2018-02-09,S - Significant,Corrected During Inspection,,
534,9000990,104063360,THE BAGEL HOUSE,THE BAGEL HOUSE,Restaurant,1548 BAYVIEW AVE,43.70483326,-79.37500159,Pass,2,Operator fail to properly wash surfaces in rooms,2017-09-28,M - Minor,Notice to Comply,,
538,9000992,103992668,WITHROW CHILDCARE CENTRE,WITHROW CHILDCARE CENTRE,Child Care - Catered,25 BAIN AVE,43.67046905,-79.35213289,Pass,2,,2017-06-15,,,,
542,9000994,103952290,BAIRRADA CHURRASQUEIRA,BAIRRADA CHURRASQUEIRA,Restaurant,1002 COLLEGE ST,43.65322,-79.42865,Pass,2,Operator fail to properly wash equipment,2017-04-20,M - Minor,Notice to Comply,,
547,9001004,104116110,BAKERS BEST BAKERY,BAKERS BEST BAKERY,Bakery,4915 STEELES AVE E,43.82715592,-79.29117137,Pass,2,Operator fail to properly wash equipment,2017-12-27,M - Minor,Closure Order,,
549,9001036,104192416,FIERRA FOODS/BAKERY DELUXE,FIERRA FOODS/BAKERY DELUXE,Bakery,50 MARMORA ST,43.7194925,-79.52594418,Pass,2,,2018-04-09,,,,
550,9001041,104091681,BAKERY ON THE GO,BAKERY ON THE GO,Food Take Out,701 WARDEN AVE,43.71160562,-79.27947292,Pass,2,,2017-11-21,,,,
557,9001053,104064702,BALDWIN NATURALS,BALDWIN NATURALS,Food Store (Convenience / Variety),16 BALDWIN ST,43.65623,-79.39295,Pass,1,,2017-10-02,,,,
559,9001061,103993976,BALMY BEACH CLUB,BALMY BEACH CLUB,Private Club,2 BEECH AVE,43.670822,-79.28683,Pass,2,FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C),2017-06-19,S - Significant,Corrected During Inspection,,
566,9001062,104025199,BALMY BEACH COMMUNITY DAY CARE CENTRE,BALMY BEACH COMMUNITY DAY CARE CENTRE,Child Care - Food Preparation,14 PINE AVE,43.67644451,-79.28983015,Pass,2,,2017-08-03,,,,
570,9001077,104008663,BANGKOK GARDENS,BANGKOK GARDENS,Restaurant,18 ELM ST,43.65789523,-79.38274646,Pass,3,STORE UTENSILS IN MANNER NOT PREVENTING CONTAMINATION O. REG  562/90 SEC. 81,2017-07-11,S - Significant,Corrected During Inspection,,
584,9001088,104001783,BMO Financial Group,BMO Financial Group,Other Educational Facility Food Services,3550 PHARMACY AVE,43.8156291,-79.3376477,Pass,2,Operator fail to properly maintain mechanical washer,2017-06-29,S - Significant,Corrected During Inspection,,
588,9001094,104347280,THE CAFE / THE BEAN,THE CAFE / THE BEAN,Cafeteria - Public Access,44 KING ST W,43.64867,-79.38019,Pass,2,,2018-11-16,,,,
590,9001103,103982995,BANTING & BEST CHILD CARE CENTRE,BANTING & BEST CHILD CARE CENTRE,Child Care - Catered,380 GOLDHAWK TRL,43.8266729,-79.28015374,Pass,2,,2017-06-08,,,,
594,9001121,103970956,BARBERIAN'S STEAK HOUSE,BARBERIAN'S STEAK HOUSE,Restaurant,7 ELM ST,43.65761211,-79.38216154,Pass,3,FAIL TO STORE FOOD ON RACKS OR SHELVES O. REG  562/90 SEC. 23,2017-05-17,S - Significant,Corrected During Inspection,,
609,9001126,104028386,BARDI'S STEAK HOUSE TAVERN,BARDI'S STEAK HOUSE TAVERN,Restaurant,56 YORK ST,43.646103,-79.38296,Pass,3,Operator fail to properly wash surfaces in rooms,2017-08-10,M - Minor,Notice to Comply,,
617,9001150,104057878,Starbucks,STARBUCKS,Restaurant,1088 YONGE ST,43.67799699,-79.39025717,Pass,1,,2017-09-20,,,,
621,9001163,103954756,BARRIO FIESTA,BARRIO FIESTA,Food Take Out,19 LAPSLEY RD,43.79560541,-79.22676594,Conditional Pass,2,Operator fail to maintain hazardous food(s) at -18C (0F) or colder,2017-04-24,S - Significant,Notice to Comply,,
637,9001165,104013481,VERMONT SQUARE,VERMONT SQUARE,Nursing Home / Home for the Aged,914 BATHURST ST,43.66831541,-79.41280409,Pass,3,Operator fail to properly maintain equipment(NON-FOOD),2017-07-18,M - Minor,Notice to Comply,,
646,9001193,103945243,Baskin Robbins,BASKIN-ROBBINS,Ice Cream / Yogurt Vendors,500 REXDALE BLVD,43.72038522,-79.60006398,Pass,2,,2017-11-15,,,,
648,9001195,104002805,Baskin Robbins,BASKIN-ROBBINS,Food Take Out,1001 SANDHURST CRCL,43.80926626,-79.26368032,Pass,2,,2017-06-30,,,,
653,9001230,104233898,BATHURST & BLOOR I.D.A.,BATHURST & BLOOR I.D.A.,Food Store (Convenience / Variety),800 BATHURST ST,43.665527,-79.411476,Pass,1,,2018-06-04,,,,
654,9001241,104040430,BAYCREST - KITCHEN,BAYCREST - KITCHEN,Nursing Home / Home for the Aged,3560 BATHURST ST,43.7300642,-79.43414656,Pass,3,,2017-08-24,,,,
668,9001242,103948510,BAYCREST CHILD CARE CENTRE,BAYCREST CHILD CARE CENTRE,Child Care - Catered,145 BAYCREST AVE,43.72661437,-79.44425476,Pass,2,,2017-04-12,,,,
670,9001245,103955916,BAYCREST TERRACE,BAYCREST TERRACE,Retirement Homes(Licensed),55 AMEER AVE,43.72875488,-79.44084109,Pass,3,,2017-04-26,,,,
681,9001252,104077677,BAYVIEW GARDENS DAY CARE CENTRE,BAYVIEW GARDENS DAY CARE CENTRE,Child Care - Food Preparation,3125 BAYVIEW AVE,43.78161567,-79.39063008,Pass,3,OPERATOR FAIL TO ENSURE CRACKED UTENSIL NOT USED IN FOOD HANDLING O. REG  562/90 SEC. 59(B),2017-10-23,S - Significant,Corrected During Inspection,,
684,9001261,104105555,BALMORAL CHEMISTS,BALMORAL CHEMISTS,Food Store (Convenience / Variety),1366 YONGE ST,43.68603864,-79.39359243,Pass,1,,2017-12-06,,,,
